danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,added_at,name
0.683,0.708,5,-6.244,0,0.0305,0.0398,0.155,0.686,0.355,92.991,2XMTqoHHSH0lvuXrvIEdco,237707,4,2018-02-14T05:53:10Z,Capsize
0.679,0.376,1,-12.39,1,0.395,0.947,0,0.115,0.321,123.352,7a5RvlW5tMU0AZ4tvbGLhn,249867,4,2018-07-23T12:12:07Z,September 16
0.564,0.696,9,-6.279,1,0.0662,0.0247,0.0248,0.133,0.205,75.004,5ZiHgUvekvEbdRXO4pn7HQ,192000,4,2018-02-14T05:56:46Z,High
0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,5CLGzJsGqhCEECcpnFQA8x,210773,4,2018-02-18T19:48:35Z,These Days
0.753,0.646,1,-4.564,1,0.0973,0.231,0.0012,0.0961,0.438,100.0,0as7lPxkBPctZ7uVmchRNM,186231,4,2018-02-18T20:02:16Z,Miss You (with Major Lazer & Tory Lanez)
0.543,0.541,2,-5.164,0,0.123,0.441,0,0.106,0.378,112.308,2EGJB8bDbbxtvSgJQLwqK7,214472,3,2018-02-18T20:03:18Z,Then
0.651,0.76,7,-3.377,1,0.054,0.351,0,0.151,0.673,96.204,2IQB5iBapo0Y37Yc0PtIZc,141875,4,2018-02-21T02:07:47Z,Contact
0.64,0.582,1,-9.529,1,0.041,0.716,0.00117,0.328,0.085,100.024,3i9fMFpVYB7FKmy9NCuzwS,213250,4,2018-07-05T18:53:32Z,Naive
0.637,0.556,1,-8.993,0,0.0534,0.199,0.138,0.1,0.348,77.118,021txSheRym293iUdf6vPZ,203318,4,2018-03-10T03:19:16Z,Cold War
0.656,0.721,5,-5.665,0,0.122,0.298,0,0.173,0.468,148.066,52okn5MNA47tk87PeZJLEL,212120,4,2018-02-14T05:26:26Z,Let You Down
0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,2P4OICZRVAQcYAV2JReRfj,230613,4,2018-04-23T17:21:25Z,Waiting For Love
0.655,0.427,2,-11.684,0,0.0799,0.295,0.00108,0.0788,0.224,107.992,2kbqbzvtneTypTMVaONXqL,215446,4,2018-02-21T02:17:53Z,Lie
0.742,0.522,5,-4.111,1,0.152,0.136,0,0.0422,0.751,180.039,6l3iEDNEyAm9AM5MSjvLkm,174080,4,2018-02-21T02:18:22Z,So Much More Than This
0.701,0.771,8,-5.714,1,0.0363,0.118,0.00108,0.106,0.227,100.024,2PJ55QsqjSVwN2esqfMDFu,192449,4,2018-02-21T02:53:06Z,We Could Go Back
0.602,0.797,6,-5.084,0,0.0534,0.055,0,0.187,0.492,92.928,7zsXy7vlHdItvUSH8EwQss,185360,4,2018-02-25T12:04:13Z,Cold Water
0.707,0.88,4,-3.211,0,0.0317,0.00424,0.0379,0.0534,0.565,105.003,47qYqGPgMTh3l1PRKBHEfI,249286,4,2018-02-27T02:28:26Z,Unity
0.606,0.889,9,-4.782,0,0.0519,0.0481,3.56e-06,0.0933,0.337,97.988,6DOBk1Pxe7q8YFI9Ozbrb3,191800,4,2018-03-09T23:59:06Z,I Got You
0.626,0.8,1,-3.988,0,0.035,0.0267,0.000138,0.0623,0.258,127.966,0DhkTGjEaIHaSxTfC14BFm,160184,4,2018-03-09T23:59:24Z,Lullaby
0.675,0.444,7,-6.067,1,0.028,0.248,0,0.0531,0.356,125.884,1o6YK7phnXgsljfWSQQfWc,216373,4,2018-03-09T23:59:51Z,When You Love Someone
0.757,0.565,11,-5.895,1,0.0324,0.174,0,0.105,0.682,119.959,2K06amHdw8ZPWI75Xvo9Ij,180402,4,2018-03-10T00:00:43Z,Runaways
0.641,0.687,9,-5.773,0,0.0542,0.0818,0.00209,0.197,0.418,149.873,1zNKrNBtDPje8fIodmzDOR,171200,4,2018-03-10T00:02:46Z,Shanghai
0.68,0.721,7,-6.21,1,0.0355,0.00538,0.000216,0.0679,0.267,122.0,7tx0NDsCViutjOyd1c4A28,215447,4,2018-03-10T00:03:12Z,Not Alone
0.632,0.575,5,-6.478,1,0.029,0.0225,1.81e-06,0.104,0.188,90.037,2CPqh63wRVscbceKcPxwvv,183414,4,2018-03-10T00:04:49Z,The Ocean (feat. Shy Martin)
0.623,0.742,9,-6.106,0,0.0674,0.0808,0,0.0806,0.426,124.991,62WBU7icjt8uhFPVLqclcl,151792,4,2018-03-10T00:06:15Z,Just Dropped In (My Condition)
0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,6uBhi9gBXWjanegOb2Phh0,210091,4,2018-03-10T00:08:54Z,Stay
0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,6hmhG1b4LEyNuashVvuIAo,213428,4,2018-03-10T00:09:10Z,Never Forget You
0.663,0.708,8,-4.154,1,0.0473,0.0337,0,0.0841,0.742,103.073,5Gu0PDLN4YJeW75PpBSg9p,174800,4,2018-03-10T00:12:11Z,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
0.38,0.553,7,-6.621,1,0.0653,0.421,2.63e-06,0.0788,0.384,179.629,1lntL1cI2UIWlxjL5QiN8g,189333,4,2018-03-10T00:14:25Z,The Other
0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,2ISSQPb9LHHiV6ng2NXosL,218293,4,2018-03-10T00:16:04Z,Beautiful Now
0.461,0.583,5,-4.581,1,0.0814,0.283,0,0.112,0.497,133.032,2X8GwyuNBiOJKLCLNaefOT,172870,5,2018-03-10T00:16:26Z,Heavy
0.717,0.646,7,-5.414,1,0.0843,0.174,0,0.129,0.533,101.972,0CJvDUBeEL1Rmpx7MH28CQ,203547,4,2018-03-10T00:17:34Z,For You
